FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.220,POINT (48.939004797 20.590920226),cesta II. triedy,536,M6714.01,Zlý,20.5909202260,48.9390047970,464.802750,dosková,prefabrikovaný predpätý betón,38,92,247,podľa tabuliek,Železnica,KE SK,SC KSK - SNV,Spišská Nová Ves,4753,31,17,17
bridges_dc.221,POINT (48.956177864 20.514082033),cesta II. triedy,536,M3131.01,Zlý,20.5140820330,48.9561778640,481.279750,trámová,prefabrikovaný predpätý betón,30,66,152,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,4718,47,22,22
bridges_dc.222,POINT (48.974572131 20.490588889),cesta II. triedy,536,M559.01,Zlý,20.4905888890,48.9745721310,502.089999,dosková,monolitický železobetón,15,26,140,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219192,2,25,25
bridges_dc.223,POINT (48.89504965 21.018301497),cesta II. triedy,546,M6053.01,Uspokojivý,21.0183014970,48.8950496500,340.378249,dosková,monolitický železobetón,25,44,134,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,1029696,1,25,25
bridges_dc.224,POINT (48.88934122 21.00937672),cesta II. triedy,546,M112.01,Veľmi zlý,21.0093767200,48.8893412200,330.516499,trámová,monolitický predpätý betón,22,67,156,odhadom,Vodná nádrž,KE SK,SC KSK - SNV,Gelnica,291829,82,26,26
bridges_dc.225,POINT (48.878808695 20.997178589),cesta II. triedy,546,M3386.01,Veľmi zlý,20.9971785890,48.8788086950,331.939750,rámová,monolitický predpätý betón,29,73,181,odhadom,Vodná nádrž,KE SK,SC KSK - SNV,Gelnica,8360,1,28,27
bridges_dc.226,POINT (48.877378588 20.996927746),cesta II. triedy,546,M5552.01,Uspokojivý,20.9969277460,48.8773785880,331.433000,dosková,monolitický železobetón,20,68,168,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291886,95,28,27
bridges_dc.227,POINT (48.873555754 20.99195205),cesta II. triedy,546,M38.01,Uspokojivý,20.9919520500,48.8735557540,333.679499,dosková,monolitický železobetón,11,28,168,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291783,13,29,28
bridges_dc.228,POINT (48.86638463 20.959468079),cesta II. triedy,546,M6391.01,Zlý,20.9594680790,48.8663846300,341.520999,dosková,monolitický železobetón,34,60,280,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291752,54,32,31
bridges_dc.229,POINT (48.86638463 20.959468079),cesta II. triedy,546,M6391.01,Zlý,20.9594680790,48.8663846300,341.520999,dosková,monolitický železobetón,34,60,280,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291753,0,32,31
bridges_dc.230,POINT (48.838185208 20.921276911),cesta II. triedy,546,M64.01,Veľmi dobrý,20.9212769110,48.8381852080,385.132500,klenbová,monolitický prostý betón,50,120,420,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,310969,840,35,35
bridges_dc.231,POINT (48.815674824 20.916990951),cesta II. triedy,546,M1517.01,Veľmi dobrý,20.9169909510,48.8156748240,380.531499,klenbová,monolitický železobetón,35,65,420,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291894,50,39,38
bridges_dc.232,POINT (48.814876932 20.914364825),cesta II. triedy,546,M3503.01,Zlý,20.9143648250,48.8148769320,379.475500,klenbová,monolitický železobetón,37,67,420,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291895,173,39,39
bridges_dc.233,POINT (48.816654602 20.898554581),cesta II. triedy,546,M6577.01,Zlý,20.8985545810,48.8166546020,384.505250,trámová,prefabrikovaný predpätý betón,31,88,181,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291900,107,40,40
bridges_dc.234,POINT (48.816361992 20.893702884),cesta II. triedy,546,M7371.01,Veľmi dobrý,20.8937028840,48.8163619920,395.057499,trámová,oceľ -  plnostenná,32,80,196,odhadom,Železnica,KE SK,SC KSK - SNV,Gelnica,291901,267,41,40
bridges_dc.235,POINT (48.83181885 20.878339948),cesta II. triedy,546,M6581.01,Uspokojivý,20.8783399480,48.8318188500,402.104250,klenbová,kameň,8,19,77,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291902,2,43,42
bridges_dc.236,POINT (48.831387884 20.87477482),cesta II. triedy,546,M5724.01,Uspokojivý,20.8747748200,48.8313878840,403.088000,klenbová,kameň,10,25,126,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291904,40,43,43
bridges_dc.237,POINT (48.828424534 20.868692951),cesta II. triedy,546,M3586.01,Zlý,20.8686929510,48.8284245340,401.535499,klenbová,kameň,7,21,84,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291908,26,44,43
bridges_dc.238,POINT (48.827141641 20.862781685),cesta II. triedy,546,M5060.01,Veľmi zlý,20.8627816850,48.8271416410,399.175499,klenbová,kameň,9,30,126,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291910,178,44,44
bridges_dc.239,POINT (48.824466931 20.846370588),cesta II. triedy,546,M4663.01,Dobrý,20.8463705880,48.8244669310,403.064499,klenbová,kameň,10,26,98,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291911,1,46,45
bridges_dc.240,POINT (48.814649927 20.826345081),cesta II. triedy,546,M4537.01,Uspokojivý,20.8263450810,48.8146499270,414.136750,klenbová,kameň,15,20,136,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291911,3,47,47
bridges_dc.241,POINT (48.808773649 20.80970416),cesta II. triedy,546,M3037.01,Uspokojivý,20.8097041600,48.8087736490,418.278999,trámová,monolitický železobetón,19,41,269,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291914,11,49,48
bridges_dc.242,POINT (48.789324743 20.760116592),cesta II. triedy,546,M5760.01,Uspokojivý,20.7601165920,48.7893247430,465.508000,dosková,prefabrikovaný železobetón,37,96,325,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291857,47,53,53
bridges_dc.243,POINT (48.797801146 20.747828252),cesta II. triedy,546,M1129.01,Uspokojivý,20.7478282520,48.7978011460,450.178249,dosková,prefabrikovaný železobetón,35,90,362,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291859,76,55,54
bridges_dc.244,POINT (48.808559495 20.724030798),cesta II. triedy,546,M4617.01,Uspokojivý,20.7240307980,48.8085594950,459.562250,dosková,monolitický železobetón,28,72,250,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291845,7,57,57
bridges_dc.245,POINT (48.812803008 20.711799914),cesta II. triedy,546,M2680.01,Zlý,20.7117999140,48.8128030080,471.832999,dosková,prefabrikovaný železobetón,39,83,342,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291848,31,58,58
bridges_dc.246,POINT (48.813302741 20.699863933),cesta II. triedy,546,M4699.01,Uspokojivý,20.6998639330,48.8133027410,475.029999,trámová,monolitický železobetón,18,31,168,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291852,24,59,59
bridges_dc.247,POINT (48.812916195 20.695606247),cesta II. triedy,546,M5927.01,Uspokojivý,20.6956062470,48.8129161950,474.896999,dosková,prefabrikovaný predpätý betón,26,51,282,podľa tabuliek,Kanál,KE SK,SC KSK - SNV,Gelnica,291854,139,59,59
bridges_dc.248,POINT (48.812706571 20.694586679),cesta II. triedy,546,M4635.01,Zlý,20.6945866790,48.8127065710,473.923750,dosková,prefabrikovaný predpätý betón,21,62,230,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291854,203,59,59
bridges_dc.249,POINT (48.80898824 20.677608688),cesta II. triedy,546,M1222.01,Uspokojivý,20.6776086880,48.8089882400,484.874249,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - SNV,Gelnica,4971,38,61,60
bridges_dc.250,POINT (48.836915391 20.643745292),cesta II. triedy,546,M5943.01,Uspokojivý,20.6437452920,48.8369153910,508.769000,dosková,monolitický železobetón,25,70,330,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,4792,2,65,64
bridges_dc.251,POINT (48.839108417 20.627863515),cesta II. triedy,546,M6229.01,Veľmi zlý,20.6278635150,48.8391084170,516.832750,trámová,prefabrikovaný predpätý betón,24,55,100,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291831,30,66,66
bridges_dc.252,POINT (48.842268169 20.618769958),cesta II. triedy,546,M5793.01,Veľmi zlý,20.6187699580,48.8422681690,529.102499,dosková,monolitický železobetón,30,70,125,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291838,8,67,66
bridges_dc.253,POINT (48.853586827 20.584642993),cesta II. triedy,546,M6337.01,Dobrý,20.5846429930,48.8535868270,605.702749,trámová,monolitický železobetón,12,22,139,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291751,1,70,70
bridges_dc.254,POINT (48.856098766 20.576593186),cesta II. triedy,546,M7380.01,Zlý,20.5765931860,48.8560987660,627.592250,dosková,monolitický železobetón,11,25,72,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,4788,678,71,70
bridges_dc.255,POINT (48.856420012 20.575251048),cesta II. triedy,546,M746.01,Uspokojivý,20.5752510480,48.8564200120,631.918000,dosková,monolitický železobetón,8,34,208,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219325,22,71,71
bridges_dc.256,POINT (48.86027765 20.574007708),cesta II. triedy,546,M6751.01,Uspokojivý,20.5740077080,48.8602776500,651.028749,dosková,monolitický železobetón,21,24,123,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219326,390,72,71
bridges_dc.257,POINT (48.872547895 20.5609437),cesta II. triedy,546,M7326.01,Uspokojivý,20.5609437000,48.8725478950,700.866999,dosková,monolitický železobetón,20,47,196,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,4786,492,73,73
bridges_dc.258,POINT (48.876067976 20.546527332),cesta II. triedy,546,M4634.01,Zlý,20.5465273320,48.8760679760,733.935249,dosková,monolitický železobetón,12,22,154,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,4786,1,75,74
bridges_dc.259,POINT (48.875935273 20.537433461),cesta II. triedy,546,M4871.01,Veľmi zlý,20.5374334610,48.8759352730,756.018500,dosková,monolitický železobetón,26,56,280,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,4786,2,75,75
bridges_dc.260,POINT (48.876281386 20.533917575),cesta II. triedy,546,M5467.01,Uspokojivý,20.5339175750,48.8762813860,768.350000,dosková,prefabrikovaný železobetón,40,99,346,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219321,10,76,75
bridges_dc.261,POINT (48.741604788 21.27113801),cesta II. triedy,547,M3273.01,Dobrý,21.2711380100,48.7416047880,231.378249,trámová,monolitický predpätý betón,28,87,196,porovnávací výpočet,,KE,MAG-KE,Košice I,5325,57,0,0
bridges_dc.262,POINT (48.741604788 21.27113801),cesta II. triedy,547,M3273.01,Dobrý,21.2711380100,48.7416047880,231.378249,trámová,monolitický predpätý betón,28,87,196,porovnávací výpočet,,KE,MAG-KE,Košice I,8772,0,0,0
bridges_dc.263,POINT (48.74219521 21.267348395),cesta II. triedy,547,M7645.01,Bezchybný,21.2673483950,48.7421952100,216.737999,rámová,prefabrikovaný železobetón,50,89,420,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,5311,168,0,0
bridges_dc.264,POINT (48.742320124 21.262175275),cesta II. triedy,547,M5850.01,Uspokojivý,21.2621752750,48.7423201240,220.858250,trámová,prefabrikovaný predpätý betón,24,47,103,podľa tabuliek,Železnica,KE,MAG-KE,Košice I,24992,151,0,0
bridges_dc.265,POINT (48.741304461 21.257932148),cesta II. triedy,547,M5421.01,Dobrý,21.2579321480,48.7413044610,213.096500,trámová,prefabrikovaný predpätý betón,31,88,275,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,25686,62,1,1
bridges_dc.266,POINT (48.74087726 21.256924516),cesta II. triedy,547,M6589.01,Dobrý,21.2569245160,48.7408772600,212.546499,trámová,prefabrikovaný predpätý betón,30,64,159,podľa tabuliek,Kanál,KE,MAG-KE,Košice I,25686,140,1,1
bridges_dc.267,POINT (48.742088787 21.239885757),cesta II. triedy,547,M2617.01,Dobrý,21.2398857570,48.7420887870,224.187500,dosková,monolitický železobetón,26,45,247,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,294196,35,2,3
bridges_dc.268,POINT (48.751719931 21.20803752),cesta II. triedy,547,M3184.01,Dobrý,21.2080375200,48.7517199310,273.206500,dosková,prefabrikovaný železobetón,37,94,330,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,323800,1,5,5
bridges_dc.269,POINT (48.756017835 21.192015113),cesta II. triedy,547,M2347.01,Dobrý,21.1920151130,48.7560178350,292.448000,dosková,prefabrikovaný železobetón,37,94,330,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,323800,3,7,7
bridges_dc.270,POINT (48.758407528 21.18617172),cesta II. triedy,547,M3493.01,Veľmi dobrý,21.1861717200,48.7584075280,300.778000,dosková,prefabrikovaný železobetón,35,75,255,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,323800,3,7,7
bridges_dc.271,POINT (48.763594034 21.174115043),cesta II. triedy,547,M7604.01,Bezchybný,21.1741150430,48.7635940340,349.153000,rámová,prefabrikovaný železobetón,50,107,378,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,294298,548,8,9
bridges_dc.272,POINT (48.764538708 21.165424497),cesta II. triedy,547,M2348.01,Bezchybný,21.1654244970,48.7645387080,384.370500,rámová,prefabrikovaný železobetón,50,107,378,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,294298,1,9,9
bridges_dc.273,POINT (48.764857673 21.164847987),cesta II. triedy,547,M5008.01,Bezchybný,21.1648479870,48.7648576730,387.414000,rámová,prefabrikovaný železobetón,50,107,378,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,294298,1,9,9
bridges_dc.274,POINT (48.783470124 21.127551811),cesta II. triedy,547,M1252.01,Dobrý,21.1275518110,48.7834701240,430.154999,klenbová,monolitický prostý betón,15,40,156,podľa tabuliek,Vodný tok,KE,MAG-KE,Košice I,294300,2,16,16
bridges_dc.275,POINT (48.785001467 21.125962747),cesta II. triedy,547,M1911.01,Zlý,21.1259627470,48.7850014670,421.234500,trámová,prefabrikovaný železobetón,36,80,312,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,5439,75,16,16
bridges_dc.276,POINT (48.787534447 21.125091711),cesta II. triedy,547,M2834.01,Uspokojivý,21.1250917110,48.7875344470,413.833499,trámová,prefabrikovaný železobetón,36,80,312,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,452436,263,16,16
bridges_dc.277,POINT (48.792636055 21.120808693),cesta II. triedy,547,M386.01,Uspokojivý,21.1208086930,48.7926360550,403.377750,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,452436,925,17,17
bridges_dc.278,POINT (48.795763883 21.115395573),cesta II. triedy,547,M3589.01,Zlý,21.1153955730,48.7957638830,399.505250,dosková,prefabrikovaný predpätý betón,48,99,308,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,5437,201,18,18
bridges_dc.279,POINT (48.799279511 21.109303249),cesta II. triedy,547,M5949.01,Uspokojivý,21.1093032490,48.7992795110,413.864000,rámová,prefabrikovaný železobetón,50,107,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,5437,800,18,18
bridges_dc.280,POINT (48.801408247 21.105624673),cesta II. triedy,547,M4361.01,Uspokojivý,21.1056246730,48.8014082470,408.683000,dosková,prefabrikovaný predpätý betón,48,106,263,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,452434,113,19,19
bridges_dc.281,POINT (48.803720104 21.101614016),cesta II. triedy,547,M7625.01,Uspokojivý,21.1016140160,48.8037201040,392.622499,rámová,prefabrikovaný železobetón,50,107,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,1303852,190,19,19
bridges_dc.282,POINT (48.810527559 21.096159064),cesta II. triedy,547,M3739.01,Zlý,21.0961590640,48.8105275590,358.546000,dosková,prefabrikovaný predpätý betón,48,103,321,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,1303852,1,20,20
bridges_dc.283,POINT (48.818958955 21.082412134),cesta II. triedy,547,M496.01,Zlý,21.0824121340,48.8189589550,332.799499,dosková,prefabrikovaný železobetón,27,64,153,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Košice - okolie,452447,35,21,21
bridges_dc.284,POINT (48.832535264 21.075912488),cesta II. triedy,547,M854.01,Veľmi dobrý,21.0759124880,48.8325352640,335.115999,iná,monolitický predpätý betón,0,0,0,,Vodná nádrž,KE SK,SC KSK - SNV,Košice - okolie,452453,5,23,23
bridges_dc.285,POINT (48.833629591 21.052127546),cesta II. triedy,547,M836.01,Zlý,21.0521275460,48.8336295910,421.030499,dosková,prefabrikovaný železobetón,19,48,117,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,5490,458,25,25
bridges_dc.286,POINT (48.851049916 21.024771607),cesta II. triedy,547,M6511.01,Uspokojivý,21.0247716070,48.8510499160,468.441000,klenbová,monolitický železobetón,15,29,100,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291810,860,30,29
bridges_dc.287,POINT (48.855907558 21.014802343),cesta II. triedy,547,M7415.01,Veľmi zlý,21.0148023430,48.8559075580,377.082500,dosková,monolitický železobetón,26,42,196,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291814,8,31,31
bridges_dc.288,POINT (48.857098122 21.012831483),cesta II. triedy,547,M3140.01,Uspokojivý,21.0128314830,48.8570981220,368.937500,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291816,21,32,31
bridges_dc.289,POINT (48.905345624 20.980714319),cesta II. triedy,547,M3211.01,Dobrý,20.9807143190,48.9053456240,355.812000,rámová,monolitický železobetón,35,80,420,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,7183,3,37,37
bridges_dc.290,POINT (48.911895816 20.943166578),cesta II. triedy,547,M3056.01,Veľmi zlý,20.9431665780,48.9118958160,355.354250,trámová,prefabrikovaný železobetón,36,80,312,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291883,82,40,40
bridges_dc.291,POINT (48.922141296 20.921902984),cesta II. triedy,547,M7519.01,Dobrý,20.9219029840,48.9221412960,375.818499,dosková,monolitický železobetón,25,68,280,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,4993,540,42,42
bridges_dc.292,POINT (48.924953476 20.912873229),cesta II. triedy,547,M6698.01,Uspokojivý,20.9128732290,48.9249534760,380.989000,dosková,monolitický železobetón,14,40,266,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,4993,1,43,43
bridges_dc.293,POINT (48.916078888 20.87203471),cesta II. triedy,547,M4426.01,Uspokojivý,20.8720347100,48.9160788880,371.043999,dosková,prefabrikovaný predpätý betón,26,78,269,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219467,6,46,46
bridges_dc.294,POINT (48.921139947 20.861759682),cesta II. triedy,547,M4261.01,Veľmi dobrý,20.8617596820,48.9211399470,375.531000,klenbová,kameň,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219471,545,47,47
bridges_dc.295,POINT (48.927049153 20.856260522),cesta II. triedy,547,M1953.01,Uspokojivý,20.8562605220,48.9270491530,370.801749,klenbová,monolitický železobetón,28,57,228,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219472,9,48,48
bridges_dc.296,POINT (48.928375732 20.850442564),cesta II. triedy,547,M5146.01,Dobrý,20.8504425640,48.9283757320,376.899999,dosková,monolitický železobetón,22,31,234,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,1297785,6,48,48
bridges_dc.297,POINT (48.928375732 20.850442564),cesta II. triedy,547,M5146.01,Dobrý,20.8504425640,48.9283757320,376.899999,dosková,monolitický železobetón,22,31,234,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219474,0,48,48
bridges_dc.298,POINT (48.933109745 20.839562574),cesta II. triedy,547,M7490.01,Veľmi zlý,20.8395625740,48.9331097450,373.462499,dosková,monolitický železobetón,26,40,210,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,6419,593,50,49
bridges_dc.299,POINT (48.939140715 20.824477869),cesta II. triedy,547,M7265.01,Veľmi zlý,20.8244778690,48.9391407150,378.282000,dosková,prefabrikovaný železobetón,38,87,285,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219475,1,51,51
bridges_dc.300,POINT (48.942237104 20.818109518),cesta II. triedy,547,M4502.01,Veľmi zlý,20.8181095180,48.9422371040,378.444000,dosková,monolitický železobetón,27,60,168,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,5031,280,51,51
bridges_dc.301,POINT (48.970737647 20.782934546),cesta II. triedy,547,M7077.01,Bezchybný,20.7829345460,48.9707376470,405.162249,trámová,prefabrikovaný predpätý betón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,5053,206,56,56
bridges_dc.302,POINT (48.675077481 21.169523318),cesta II. triedy,548,M3473.01,Veľmi zlý,21.1695233180,48.6750774810,298.149500,dosková,monolitický železobetón,12,26,140,odhadom,Kanál,KE SK,SC KSK - KS,Košice - okolie,479746,32,4,3
bridges_dc.303,POINT (48.676144417 21.166339165),cesta II. triedy,548,M7748.01,Veľmi zlý,21.1663391650,48.6761444170,295.218999,dosková,monolitický železobetón,10,16,77,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,453539,68,4,4
bridges_dc.304,POINT (48.675850636 21.142274809),cesta II. triedy,548,M6447.01,Veľmi zlý,21.1422748090,48.6758506360,297.751000,dosková,monolitický železobetón,8,21,112,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1303849,2,6,6
bridges_dc.305,POINT (48.677179034 21.101913461),cesta II. triedy,548,M6324.01,Zlý,21.1019134610,48.6771790340,313.410999,dosková,monolitický železobetón,18,27,168,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451461,77,10,9
bridges_dc.306,POINT (48.676919065 21.092921969),cesta II. triedy,548,M1150.01,Zlý,21.0929219690,48.6769190650,304.918250,dosková,prefabrikovaný železobetón,39,104,347,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451464,162,11,10
bridges_dc.307,POINT (48.688594325 21.011947654),cesta II. triedy,548,M3275.01,Veľmi zlý,21.0119476540,48.6885943250,306.964000,dosková,monolitický železobetón,9,20,98,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451328,18,18,17
bridges_dc.308,POINT (48.683308017 20.974353653),cesta II. triedy,548,M758.01,Zlý,20.9743536530,48.6833080170,262.567249,dosková,monolitický železobetón,14,27,98,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451286,6,21,20
bridges_dc.309,POINT (48.69328588 20.947909886),cesta II. triedy,548,M7787.01,Uspokojivý,20.9479098860,48.6932858800,282.359249,trámová,prefabrikovaný železobetón,36,80,312,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451518,931,24,23
bridges_dc.310,POINT (48.697789872 20.913497137),cesta II. triedy,548,M5556.01,Zlý,20.9134971370,48.6977898720,302.517000,dosková,monolitický železobetón,16,35,186,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452321,473,27,25
bridges_dc.311,POINT (48.698733163 20.895423413),cesta II. triedy,548,M1410.01,Uspokojivý,20.8954234130,48.6987331630,313.644499,trámová,prefabrikovaný železobetón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452328,9,27,27
bridges_dc.312,POINT (48.705179144 20.885057342),cesta II. triedy,548,M1199.01,Uspokojivý,20.8850573420,48.7051791440,324.419250,dosková,prefabrikovaný predpätý betón,22,54,280,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452358,19,28,28
bridges_dc.313,POINT (48.702744562 20.840056086),cesta II. triedy,548,M2624.01,Uspokojivý,20.8400560860,48.7027445620,363.341000,dosková,monolitický železobetón,26,46,294,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1128636,55,32,32
bridges_dc.314,POINT (48.703935135 20.822945393),cesta II. triedy,548,M4249.01,Zlý,20.8229453930,48.7039351350,384.490999,dosková,monolitický železobetón,19,24,151,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452363,5,33,33
bridges_dc.315,POINT (48.704837418 20.822005025),cesta II. triedy,548,M1923.01,Uspokojivý,20.8220050250,48.7048374180,387.140750,dosková,monolitický železobetón,32,80,370,projektovaná,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452363,127,33,33
bridges_dc.316,POINT (48.707238384 20.810068603),cesta II. triedy,548,M7002.01,Zlý,20.8100686030,48.7072383840,403.285000,dosková,monolitický železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452363,1,34,34
bridges_dc.317,POINT (48.750226987 20.777506325),cesta II. triedy,549,M5950.01,Uspokojivý,20.7775063250,48.7502269870,489.163499,dosková,prefabrikovaný predpätý betón,20,62,218,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291866,28,6,6
bridges_dc.318,POINT (48.746411047 20.774833868),cesta II. triedy,549,M737.01,Dobrý,20.7748338680,48.7464110470,495.255749,trámová,monolitický železobetón,7,18,63,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291867,46,7,7
bridges_dc.319,POINT (48.739537165 20.760707173),cesta II. triedy,549,M3089.01,Bezchybný,20.7607071730,48.7395371650,512.089500,dosková,prefabrikovaný predpätý betón,12,15,46,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291871,29,8,8
bridges_dc.320,POINT (48.727480348 20.721915669),cesta II. triedy,549,M2859.01,Zlý,20.7219156690,48.7274803480,555.930500,dosková,monolitický železobetón,15,30,84,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,4967,356,12,12
bridges_dc.321,POINT (48.716619878 20.710809799),cesta II. triedy,549,M7317.01,Veľmi zlý,20.7108097990,48.7166198780,581.977750,dosková,monolitický železobetón,16,21,134,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291920,1,13,13
bridges_dc.322,POINT (48.714149712 20.706429987),cesta II. triedy,549,M5311.01,Zlý,20.7064299870,48.7141497120,592.583499,dosková,prefabrikovaný železobetón,34,80,369,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291921,363,14,14
