FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.863,POINT (48.737126168 22.214890406),cesta III. triedy,3801,M5289.01,Veľmi dobrý,22.2148904060,48.7371261680,122.695500,dosková,prefabrikovaný železobetón,32,67,345,odhadom,Vodný tok,KE SK,SC KSK - MI,Sobrance,2365,387,0,0
bridges_dc.864,POINT (48.735786895 22.221621708),cesta III. triedy,3801,M6261.01,Veľmi dobrý,22.2216217080,48.7357868950,124.225500,dosková,monolitický železobetón,26,31,160,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,2365,904,0,0
bridges_dc.865,POINT (48.728414895 22.258461063),cesta III. triedy,3801,M3625.01,Veľmi dobrý,22.2584610630,48.7284148950,158.597250,dosková,prefabrikovaný železobetón,36,77,312,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272251,147,4,4
bridges_dc.866,POINT (48.716476924 22.29637629),cesta III. triedy,3801,M213.01,Veľmi dobrý,22.2963762900,48.7164769240,288.199999,dosková,monolitický železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272261,13,7,7
bridges_dc.867,POINT (48.711934206 22.315780596),cesta III. triedy,3801,M295.01,Dobrý,22.3157805960,48.7119342060,325.198999,dosková,monolitický železobetón,26,46,294,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272263,174,9,9
bridges_dc.868,POINT (48.748253043 22.267610622),cesta III. triedy,3802,M5815.01,Veľmi dobrý,22.2676106220,48.7482530430,252.032000,dosková,prefabrikovaný železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272248,30,3,3
bridges_dc.869,POINT (48.683241134 22.228912775),cesta III. triedy,3803,M4797.01,Uspokojivý,22.2289127750,48.6832411340,111.998500,dosková,monolitický železobetón,15,34,235,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272270,202,0,1
bridges_dc.870,POINT (48.650474278 22.252458157),cesta III. triedy,3805,M4953.01,Uspokojivý,22.2524581570,48.6504742780,115.440499,dosková,prefabrikovaný železobetón,40,102,272,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272293,1,1,1
bridges_dc.871,POINT (48.650277991 22.236639112),cesta III. triedy,3805,M687.01,Veľmi dobrý,22.2366391120,48.6502779910,111.519499,dosková,prefabrikovaný železobetón,47,78,340,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272294,656,3,3
bridges_dc.872,POINT (48.626216896 22.16863466),cesta III. triedy,3807,M7170.01,Havarijný,22.1686346600,48.6262168960,108.418999,trámová,prefabrikovaný predpätý betón,18,40,90,podľa tabuliek,Kanál,KE SK,SC KSK - MI,Sobrance,272287,569,0,0
bridges_dc.873,POINT (48.64582119 22.226394562),cesta III. triedy,3810,M7557.01,Dobrý,22.2263945620,48.6458211900,109.959000,dosková,prefabrikovaný železobetón,26,99,320,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272285,1,1,1
bridges_dc.874,POINT (48.809076177 22.294837505),cesta III. triedy,3812,M633.01,Dobrý,22.2948375050,48.8090761770,314.214250,dosková,prefabrikovaný železobetón,47,111,340,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,282530,151,0,0
bridges_dc.875,POINT (48.822098987 22.356256544),cesta III. triedy,3812,M614.01,Veľmi dobrý,22.3562565440,48.8220989870,490.797500,rámová,prefabrikovaný železobetón,50,130,207,odhadom,Vodný tok,KE SK,SC KSK - MI,Sobrance,272190,26,0,6
bridges_dc.876,POINT (48.864280757 22.332349335),cesta III. triedy,3813,M6794.01,Dobrý,22.3323493350,48.8642807570,317.356000,dosková,prefabrikovaný železobetón,50,122,420,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272164,229,2,1
bridges_dc.877,POINT (48.85923468 22.311734505),cesta III. triedy,3813,M5131.01,Dobrý,22.3117345050,48.8592346800,371.361499,dosková,prefabrikovaný železobetón,42,110,382,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272164,1,3,3
bridges_dc.878,POINT (48.858399999 22.308475883),cesta III. triedy,3813,M4016.01,Uspokojivý,22.3084758830,48.8583999990,375.069499,dosková,prefabrikovaný železobetón,26,57,264,podľa tabuliek,Vodný tok,KE SK,SC KSK - MI,Sobrance,272164,2,3,3
bridges_dc.879,POINT (49.00242 20.48912),diaľnica,D1,M9645.01,Veľmi dobrý,20.4891200000,49.0024200000,550.000000,rámová,monolitický železobetón,32,80,196,,"Účelová komunikácia,  Vodný tok",NDS,NDS - SSUD MENG,Spišská Nová Ves,986674,498,344,301
bridges_dc.880,POINT (49.00095 20.51484),diaľnica,D1,M9644.01,Veľmi dobrý,20.5148400000,49.0009500000,575.000000,trámová,monolitický predpätý betón,32,80,196,,,NDS,NDS - SSUD MENG,Spišská Nová Ves,988265,522,345,303
bridges_dc.881,POINT (49.00056 20.5206),diaľnica,D1,M9643.01,Dobrý,20.5206000000,49.0005600000,575.000000,trámová,monolitický predpätý betón,32,80,196,,"Vodný tok,  Údolie",NDS,NDS - SSUD MENG,Spišská Nová Ves,988265,1,346,303
bridges_dc.882,POINT (49.00095 20.51484),diaľnica,D1,M9644.01,Veľmi dobrý,20.5148400000,49.0009500000,575.000000,trámová,monolitický predpätý betón,32,80,196,,,NDS,NDS - SSUD MENG,Spišská Nová Ves,986676,643,346,303
bridges_dc.883,POINT (49.00056 20.5206),diaľnica,D1,M9643.01,Dobrý,20.5206000000,49.0005600000,575.000000,trámová,monolitický predpätý betón,32,80,196,,"Vodný tok,  Údolie",NDS,NDS - SSUD MENG,Spišská Nová Ves,986676,335,346,303
